team_name,league_name,season,win_rate
RSC Anderlecht,Belgium Jupiler League,2008/2009,0.71
Standard de Liège,Belgium Jupiler League,2008/2009,0.71
Club Brugge KV,Belgium Jupiler League,2008/2009,0.53
KAA Gent,Belgium Jupiler League,2008/2009,0.5
SV Zulte-Waregem,Belgium Jupiler League,2008/2009,0.47
KRC Genk,Belgium Jupiler League,2008/2009,0.44
KVC Westerlo,Belgium Jupiler League,2008/2009,0.44
KSV Cercle Brugge,Belgium Jupiler League,2008/2009,0.41
Sporting Lokeren,Belgium Jupiler League,2008/2009,0.38
KV Mechelen,Belgium Jupiler League,2008/2009,0.35
Sporting Charleroi,Belgium Jupiler League,2008/2009,0.35
Beerschot AC,Belgium Jupiler League,2008/2009,0.32
FCV Dender EH,Belgium Jupiler League,2008/2009,0.26
KV Kortrijk,Belgium Jupiler League,2008/2009,0.26
KSV Roeselare,Belgium Jupiler League,2008/2009,0.24
Tubize,Belgium Jupiler League,2008/2009,0.21
RAEC Mons,Belgium Jupiler League,2008/2009,0.09
RSC Anderlecht,Belgium Jupiler League,2009/2010,0.79
Club Brugge KV,Belgium Jupiler League,2009/2010,0.61
KAA Gent,Belgium Jupiler League,2009/2010,0.5
KV Kortrijk,Belgium Jupiler League,2009/2010,0.43
KV Mechelen,Belgium Jupiler League,2009/2010,0.43
Sint-Truidense VV,Belgium Jupiler League,2009/2010,0.43
KSV Cercle Brugge,Belgium Jupiler League,2009/2010,0.39
SV Zulte-Waregem,Belgium Jupiler League,2009/2010,0.36
Standard de Liège,Belgium Jupiler League,2009/2010,0.36
Beerschot AC,Belgium Jupiler League,2009/2010,0.32
KRC Genk,Belgium Jupiler League,2009/2010,0.29
KVC Westerlo,Belgium Jupiler League,2009/2010,0.29
Sporting Charleroi,Belgium Jupiler League,2009/2010,0.18
Sporting Lokeren,Belgium Jupiler League,2009/2010,0.18
KSV Roeselare,Belgium Jupiler League,2009/2010,0.14
KRC Genk,Belgium Jupiler League,2010/2011,0.63
RSC Anderlecht,Belgium Jupiler League,2010/2011,0.63
KAA Gent,Belgium Jupiler League,2010/2011,0.57
Club Brugge KV,Belgium Jupiler League,2010/2011,0.53
Standard de Liège,Belgium Jupiler League,2010/2011,0.5
KV Mechelen,Belgium Jupiler League,2010/2011,0.43
Sporting Lokeren,Belgium Jupiler League,2010/2011,0.43
KSV Cercle Brugge,Belgium Jupiler League,2010/2011,0.37
KV Kortrijk,Belgium Jupiler League,2010/2011,0.37
KVC Westerlo,Belgium Jupiler League,2010/2011,0.37
Sint-Truidense VV,Belgium Jupiler League,2010/2011,0.27
SV Zulte-Waregem,Belgium Jupiler League,2010/2011,0.23
Beerschot AC,Belgium Jupiler League,2010/2011,0.17
KAS Eupen,Belgium Jupiler League,2010/2011,0.17
Lierse SK,Belgium Jupiler League,2010/2011,0.13
Sporting Charleroi,Belgium Jupiler League,2010/2011,0.13
RSC Anderlecht,Belgium Jupiler League,2011/2012,0.67
Club Brugge KV,Belgium Jupiler League,2011/2012,0.63
KAA Gent,Belgium Jupiler League,2011/2012,0.57
Standard de Liège,Belgium Jupiler League,2011/2012,0.47
KRC Genk,Belgium Jupiler League,2011/2012,0.43
KSV Cercle Brugge,Belgium Jupiler League,2011/2012,0.43
KV Kortrijk,Belgium Jupiler League,2011/2012,0.43
Sporting Lokeren,Belgium Jupiler League,2011/2012,0.37
KV Mechelen,Belgium Jupiler League,2011/2012,0.33
Beerschot AC,Belgium Jupiler League,2011/2012,0.3
RAEC Mons,Belgium Jupiler League,2011/2012,0.3
Oud-Heverlee Leuven,Belgium Jupiler League,2011/2012,0.23
Lierse SK,Belgium Jupiler League,2011/2012,0.2
SV Zulte-Waregem,Belgium Jupiler League,2011/2012,0.2
KVC Westerlo,Belgium Jupiler League,2011/2012,0.17
Sint-Truidense VV,Belgium Jupiler League,2011/2012,0.1
RSC Anderlecht,Belgium Jupiler League,2012/2013,0.67
SV Zulte-Waregem,Belgium Jupiler League,2012/2013,0.63
Club Brugge KV,Belgium Jupiler League,2012/2013,0.5
KRC Genk,Belgium Jupiler League,2012/2013,0.5
Standard de Liège,Belgium Jupiler League,2012/2013,0.5
Sporting Lokeren,Belgium Jupiler League,2012/2013,0.47
RAEC Mons,Belgium Jupiler League,2012/2013,0.43
KV Mechelen,Belgium Jupiler League,2012/2013,0.4
KV Kortrijk,Belgium Jupiler League,2012/2013,0.37
Sporting Charleroi,Belgium Jupiler League,2012/2013,0.33
KAA Gent,Belgium Jupiler League,2012/2013,0.27
Oud-Heverlee Leuven,Belgium Jupiler League,2012/2013,0.27
Waasland-Beveren,Belgium Jupiler League,2012/2013,0.23
Beerschot AC,Belgium Jupiler League,2012/2013,0.2
Lierse SK,Belgium Jupiler League,2012/2013,0.17
KSV Cercle Brugge,Belgium Jupiler League,2012/2013,0.1
KV Oostende,Belgium Jupiler League,2013/2014,0.67
KAA Gent,Belgium Jupiler League,2013/2014,0.5
Lierse SK,Belgium Jupiler League,2013/2014,0.33
Waasland-Beveren,Belgium Jupiler League,2013/2014,0.17
Club Brugge KV,Belgium Jupiler League,2014/2015,0.57
KAA Gent,Belgium Jupiler League,2014/2015,0.53
KV Kortrijk,Belgium Jupiler League,2014/2015,0.53
RSC Anderlecht,Belgium Jupiler League,2014/2015,0.53
Standard de Liège,Belgium Jupiler League,2014/2015,0.53
Sporting Charleroi,Belgium Jupiler League,2014/2015,0.47
KRC Genk,Belgium Jupiler League,2014/2015,0.43
KV Oostende,Belgium Jupiler League,2014/2015,0.37
KV Mechelen,Belgium Jupiler League,2014/2015,0.33
Sporting Lokeren,Belgium Jupiler League,2014/2015,0.33
KVC Westerlo,Belgium Jupiler League,2014/2015,0.27
SV Zulte-Waregem,Belgium Jupiler League,2014/2015,0.27
Waasland-Beveren,Belgium Jupiler League,2014/2015,0.23
KSV Cercle Brugge,Belgium Jupiler League,2014/2015,0.2
Lierse SK,Belgium Jupiler League,2014/2015,0.17
Club Brugge KV,Belgium Jupiler League,2015/2016,0.7
KAA Gent,Belgium Jupiler League,2015/2016,0.57
RSC Anderlecht,Belgium Jupiler League,2015/2016,0.5
KRC Genk,Belgium Jupiler League,2015/2016,0.47
KV Oostende,Belgium Jupiler League,2015/2016,0.47
SV Zulte-Waregem,Belgium Jupiler League,2015/2016,0.4
Standard de Liège,Belgium Jupiler League,2015/2016,0.4
KV Kortrijk,Belgium Jupiler League,2015/2016,0.33
KV Mechelen,Belgium Jupiler League,2015/2016,0.33
Sporting Charleroi,Belgium Jupiler League,2015/2016,0.33
Waasland-Beveren,Belgium Jupiler League,2015/2016,0.3
Sint-Truidense VV,Belgium Jupiler League,2015/2016,0.27
Sporting Lokeren,Belgium Jupiler League,2015/2016,0.27
KVC Westerlo,Belgium Jupiler League,2015/2016,0.23
Oud-Heverlee Leuven,Belgium Jupiler League,2015/2016,0.23
Manchester United,England Premier League,2008/2009,0.74
Chelsea,England Premier League,2008/2009,0.66
Liverpool,England Premier League,2008/2009,0.66
Arsenal,England Premier League,2008/2009,0.53
Aston Villa,England Premier League,2008/2009,0.45
Everton,England Premier League,2008/2009,0.45
Manchester City,England Premier League,2008/2009,0.39
Fulham,England Premier League,2008/2009,0.37
Tottenham Hotspur,England Premier League,2008/2009,0.37
West Ham United,England Premier League,2008/2009,0.37
Stoke City,England Premier League,2008/2009,0.32
Wigan Athletic,England Premier League,2008/2009,0.32
Bolton Wanderers,England Premier League,2008/2009,0.29
Blackburn Rovers,England Premier League,2008/2009,0.26
Portsmouth,England Premier League,2008/2009,0.26
Sunderland,England Premier League,2008/2009,0.24
Hull City,England Premier League,2008/2009,0.21
West Bromwich Albion,England Premier League,2008/2009,0.21
Middlesbrough,England Premier League,2008/2009,0.18
Newcastle United,England Premier League,2008/2009,0.18
Chelsea,England Premier League,2009/2010,0.71
Manchester United,England Premier League,2009/2010,0.71
Arsenal,England Premier League,2009/2010,0.61
Tottenham Hotspur,England Premier League,2009/2010,0.55
Liverpool,England Premier League,2009/2010,0.47
Manchester City,England Premier League,2009/2010,0.47
Aston Villa,England Premier League,2009/2010,0.45
Everton,England Premier League,2009/2010,0.42
Birmingham City,England Premier League,2009/2010,0.34
Blackburn Rovers,England Premier League,2009/2010,0.34
Fulham,England Premier League,2009/2010,0.32
Stoke City,England Premier League,2009/2010,0.29
Sunderland,England Premier League,2009/2010,0.29
Bolton Wanderers,England Premier League,2009/2010,0.26
Wigan Athletic,England Premier League,2009/2010,0.24
Wolverhampton Wanderers,England Premier League,2009/2010,0.24
Burnley,England Premier League,2009/2010,0.21
West Ham United,England Premier League,2009/2010,0.21
Portsmouth,England Premier League,2009/2010,0.18
Hull City,England Premier League,2009/2010,0.16
Manchester United,England Premier League,2010/2011,0.61
Chelsea,England Premier League,2010/2011,0.55
Manchester City,England Premier League,2010/2011,0.55
Arsenal,England Premier League,2010/2011,0.5
Liverpool,England Premier League,2010/2011,0.45
Tottenham Hotspur,England Premier League,2010/2011,0.42
Everton,England Premier League,2010/2011,0.34
Stoke City,England Premier League,2010/2011,0.34
Aston Villa,England Premier League,2010/2011,0.32
Bolton Wanderers,England Premier League,2010/2011,0.32
Sunderland,England Premier League,2010/2011,0.32
West Bromwich Albion,England Premier League,2010/2011,0.32
Blackburn Rovers,England Premier League,2010/2011,0.29
Fulham,England Premier League,2010/2011,0.29
Newcastle United,England Premier League,2010/2011,0.29
Wolverhampton Wanderers,England Premier League,2010/2011,0.29
Blackpool,England Premier League,2010/2011,0.26
Wigan Athletic,England Premier League,2010/2011,0.24
Birmingham City,England Premier League,2010/2011,0.21
West Ham United,England Premier League,2010/2011,0.18
Manchester City,England Premier League,2011/2012,0.74
Manchester United,England Premier League,2011/2012,0.74
Arsenal,England Premier League,2011/2012,0.55
Tottenham Hotspur,England Premier League,2011/2012,0.53
Newcastle United,England Premier League,2011/2012,0.5
Chelsea,England Premier League,2011/2012,0.47
Everton,England Premier League,2011/2012,0.39
Fulham,England Premier League,2011/2012,0.37
Liverpool,England Premier League,2011/2012,0.37
West Bromwich Albion,England Premier League,2011/2012,0.34
Norwich City,England Premier League,2011/2012,0.32
Swansea City,England Premier League,2011/2012,0.32
Stoke City,England Premier League,2011/2012,0.29
Sunderland,England Premier League,2011/2012,0.29
Wigan Athletic,England Premier League,2011/2012,0.29
Bolton Wanderers,England Premier League,2011/2012,0.26
Queens Park Rangers,England Premier League,2011/2012,0.26
Blackburn Rovers,England Premier League,2011/2012,0.21
Aston Villa,England Premier League,2011/2012,0.18
Wolverhampton Wanderers,England Premier League,2011/2012,0.13
Manchester United,England Premier League,2012/2013,0.74
Manchester City,England Premier League,2012/2013,0.61
Chelsea,England Premier League,2012/2013,0.58
Arsenal,England Premier League,2012/2013,0.55
Tottenham Hotspur,England Premier League,2012/2013,0.55
Everton,England Premier League,2012/2013,0.42
Liverpool,England Premier League,2012/2013,0.42
West Bromwich Albion,England Premier League,2012/2013,0.37
West Ham United,England Premier League,2012/2013,0.32
Fulham,England Premier League,2012/2013,0.29
Newcastle United,England Premier League,2012/2013,0.29
Swansea City,England Premier League,2012/2013,0.29
Aston Villa,England Premier League,2012/2013,0.26
Norwich City,England Premier League,2012/2013,0.26
Southampton,England Premier League,2012/2013,0.24
Stoke City,England Premier League,2012/2013,0.24
Sunderland,England Premier League,2012/2013,0.24
Wigan Athletic,England Premier League,2012/2013,0.24
Reading,England Premier League,2012/2013,0.16
Queens Park Rangers,England Premier League,2012/2013,0.11
Manchester City,England Premier League,2013/2014,0.71
Liverpool,England Premier League,2013/2014,0.68
Chelsea,England Premier League,2013/2014,0.66
Arsenal,England Premier League,2013/2014,0.63
Everton,England Premier League,2013/2014,0.55
Tottenham Hotspur,England Premier League,2013/2014,0.55
Manchester United,England Premier League,2013/2014,0.5
Newcastle United,England Premier League,2013/2014,0.39
Southampton,England Premier League,2013/2014,0.39
Crystal Palace,England Premier League,2013/2014,0.34
Stoke City,England Premier League,2013/2014,0.34
Swansea City,England Premier League,2013/2014,0.29
West Ham United,England Premier League,2013/2014,0.29
Aston Villa,England Premier League,2013/2014,0.26
Hull City,England Premier League,2013/2014,0.26
Sunderland,England Premier League,2013/2014,0.26
Fulham,England Premier League,2013/2014,0.24
Norwich City,England Premier League,2013/2014,0.21
Cardiff City,England Premier League,2013/2014,0.18
West Bromwich Albion,England Premier League,2013/2014,0.18
Chelsea,England Premier League,2014/2015,0.68
Manchester City,England Premier League,2014/2015,0.63
Arsenal,England Premier League,2014/2015,0.58
Manchester United,England Premier League,2014/2015,0.53
Tottenham Hotspur,England Premier League,2014/2015,0.5
Liverpool,England Premier League,2014/2015,0.47
Southampton,England Premier League,2014/2015,0.47
Swansea City,England Premier League,2014/2015,0.42
Stoke City,England Premier League,2014/2015,0.39
Crystal Palace,England Premier League,2014/2015,0.34
Everton,England Premier League,2014/2015,0.32
West Ham United,England Premier League,2014/2015,0.32
Leicester City,England Premier League,2014/2015,0.29
West Bromwich Albion,England Premier League,2014/2015,0.29
Aston Villa,England Premier League,2014/2015,0.26
Newcastle United,England Premier League,2014/2015,0.26
Hull City,England Premier League,2014/2015,0.21
Queens Park Rangers,England Premier League,2014/2015,0.21
Burnley,England Premier League,2014/2015,0.18
Sunderland,England Premier League,2014/2015,0.18
Leicester City,England Premier League,2015/2016,0.61
Arsenal,England Premier League,2015/2016,0.53
Manchester City,England Premier League,2015/2016,0.5
Manchester United,England Premier League,2015/2016,0.5
Tottenham Hotspur,England Premier League,2015/2016,0.5
Southampton,England Premier League,2015/2016,0.47
Liverpool,England Premier League,2015/2016,0.42
West Ham United,England Premier League,2015/2016,0.42
Stoke City,England Premier League,2015/2016,0.37
Chelsea,England Premier League,2015/2016,0.32
Swansea City,England Premier League,2015/2016,0.32
Watford,England Premier League,2015/2016,0.32
Bournemouth,England Premier League,2015/2016,0.29
Crystal Palace,England Premier League,2015/2016,0.29
Everton,England Premier League,2015/2016,0.29
West Bromwich Albion,England Premier League,2015/2016,0.26
Newcastle United,England Premier League,2015/2016,0.24
Norwich City,England Premier League,2015/2016,0.24
Sunderland,England Premier League,2015/2016,0.24
Aston Villa,England Premier League,2015/2016,0.08
Girondins de Bordeaux,France Ligue 1,2008/2009,0.63
Olympique de Marseille,France Ligue 1,2008/2009,0.58
Olympique Lyonnais,France Ligue 1,2008/2009,0.53
Paris Saint-Germain,France Ligue 1,2008/2009,0.5
LOSC Lille,France Ligue 1,2008/2009,0.45
AJ Auxerre,France Ligue 1,2008/2009,0.42
Toulouse FC,France Ligue 1,2008/2009,0.42
Stade Rennais FC,France Ligue 1,2008/2009,0.39
OGC Nice,France Ligue 1,2008/2009,0.34
AS Monaco,France Ligue 1,2008/2009,0.29
AS Saint-Étienne,France Ligue 1,2008/2009,0.29
AS Nancy-Lorraine,France Ligue 1,2008/2009,0.26
FC Lorient,France Ligue 1,2008/2009,0.26
FC Sochaux-Montbéliard,France Ligue 1,2008/2009,0.26
Grenoble Foot 38,France Ligue 1,2008/2009,0.26
Le Mans FC,France Ligue 1,2008/2009,0.26
Valenciennes FC,France Ligue 1,2008/2009,0.26
FC Nantes,France Ligue 1,2008/2009,0.24
SM Caen,France Ligue 1,2008/2009,0.21
Le Havre AC,France Ligue 1,2008/2009,0.18
Olympique de Marseille,France Ligue 1,2009/2010,0.61
LOSC Lille,France Ligue 1,2009/2010,0.55
AJ Auxerre,France Ligue 1,2009/2010,0.53
Montpellier Hérault SC,France Ligue 1,2009/2010,0.53
Olympique Lyonnais,France Ligue 1,2009/2010,0.53
Girondins de Bordeaux,France Ligue 1,2009/2010,0.5
FC Lorient,France Ligue 1,2009/2010,0.42
AS Monaco,France Ligue 1,2009/2010,0.39
Stade Rennais FC,France Ligue 1,2009/2010,0.37
Valenciennes FC,France Ligue 1,2009/2010,0.37
AS Nancy-Lorraine,France Ligue 1,2009/2010,0.34
Paris Saint-Germain,France Ligue 1,2009/2010,0.32
RC Lens,France Ligue 1,2009/2010,0.32
Toulouse FC,France Ligue 1,2009/2010,0.32
FC Sochaux-Montbéliard,France Ligue 1,2009/2010,0.29
OGC Nice,France Ligue 1,2009/2010,0.29
AS Saint-Étienne,France Ligue 1,2009/2010,0.26
Le Mans FC,France Ligue 1,2009/2010,0.21
US Boulogne Cote D'Opale,France Ligue 1,2009/2010,0.18
Grenoble Foot 38,France Ligue 1,2009/2010,0.13
LOSC Lille,France Ligue 1,2010/2011,0.55
Olympique de Marseille,France Ligue 1,2010/2011,0.47
FC Sochaux-Montbéliard,France Ligue 1,2010/2011,0.45
Olympique Lyonnais,France Ligue 1,2010/2011,0.45
Paris Saint-Germain,France Ligue 1,2010/2011,0.39
Stade Rennais FC,France Ligue 1,2010/2011,0.39
Toulouse FC,France Ligue 1,2010/2011,0.37
AS Nancy-Lorraine,France Ligue 1,2010/2011,0.34
AS Saint-Étienne,France Ligue 1,2010/2011,0.32
FC Lorient,France Ligue 1,2010/2011,0.32
Girondins de Bordeaux,France Ligue 1,2010/2011,0.32
Montpellier Hérault SC,France Ligue 1,2010/2011,0.32
OGC Nice,France Ligue 1,2010/2011,0.29
SM Caen,France Ligue 1,2010/2011,0.29
Stade Brestois 29,France Ligue 1,2010/2011,0.29
AJ Auxerre,France Ligue 1,2010/2011,0.26
Valenciennes FC,France Ligue 1,2010/2011,0.26
AS Monaco,France Ligue 1,2010/2011,0.24
RC Lens,France Ligue 1,2010/2011,0.18
AC Arles-Avignon,France Ligue 1,2010/2011,0.08
Montpellier Hérault SC,France Ligue 1,2011/2012,0.66
Paris Saint-Germain,France Ligue 1,2011/2012,0.61
LOSC Lille,France Ligue 1,2011/2012,0.55
Olympique Lyonnais,France Ligue 1,2011/2012,0.5
Stade Rennais FC,France Ligue 1,2011/2012,0.45
AS Saint-Étienne,France Ligue 1,2011/2012,0.42
Girondins de Bordeaux,France Ligue 1,2011/2012,0.42
Toulouse FC,France Ligue 1,2011/2012,0.39
Évian Thonon Gaillard FC,France Ligue 1,2011/2012,0.34
Olympique de Marseille,France Ligue 1,2011/2012,0.32
Valenciennes FC,France Ligue 1,2011/2012,0.32
AS Nancy-Lorraine,France Ligue 1,2011/2012,0.29
FC Sochaux-Montbéliard,France Ligue 1,2011/2012,0.29
OGC Nice,France Ligue 1,2011/2012,0.26
AC Ajaccio,France Ligue 1,2011/2012,0.24
Dijon FCO,France Ligue 1,2011/2012,0.24
FC Lorient,France Ligue 1,2011/2012,0.24
SM Caen,France Ligue 1,2011/2012,0.24
Stade Brestois 29,France Ligue 1,2011/2012,0.21
AJ Auxerre,France Ligue 1,2011/2012,0.18
Paris Saint-Germain,France Ligue 1,2012/2013,0.66
Olympique de Marseille,France Ligue 1,2012/2013,0.55
Olympique Lyonnais,France Ligue 1,2012/2013,0.5
OGC Nice,France Ligue 1,2012/2013,0.47
AS Saint-Étienne,France Ligue 1,2012/2013,0.42
LOSC Lille,France Ligue 1,2012/2013,0.42
Montpellier Hérault SC,France Ligue 1,2012/2013,0.39
FC Lorient,France Ligue 1,2012/2013,0.37
Girondins de Bordeaux,France Ligue 1,2012/2013,0.34
SC Bastia,France Ligue 1,2012/2013,0.34
Stade Rennais FC,France Ligue 1,2012/2013,0.34
Toulouse FC,France Ligue 1,2012/2013,0.34
Valenciennes FC,France Ligue 1,2012/2013,0.32
FC Sochaux-Montbéliard,France Ligue 1,2012/2013,0.26
Stade de Reims,France Ligue 1,2012/2013,0.26
Évian Thonon Gaillard FC,France Ligue 1,2012/2013,0.26
AC Ajaccio,France Ligue 1,2012/2013,0.24
AS Nancy-Lorraine,France Ligue 1,2012/2013,0.24
ES Troyes AC,France Ligue 1,2012/2013,0.21
Stade Brestois 29,France Ligue 1,2012/2013,0.21
Paris Saint-Germain,France Ligue 1,2013/2014,0.71
AS Monaco,France Ligue 1,2013/2014,0.61
AS Saint-Étienne,France Ligue 1,2013/2014,0.53
LOSC Lille,France Ligue 1,2013/2014,0.53
Olympique Lyonnais,France Ligue 1,2013/2014,0.45
Olympique de Marseille,France Ligue 1,2013/2014,0.42
FC Lorient,France Ligue 1,2013/2014,0.34
FC Nantes,France Ligue 1,2013/2014,0.34
Girondins de Bordeaux,France Ligue 1,2013/2014,0.34
OGC Nice,France Ligue 1,2013/2014,0.32
SC Bastia,France Ligue 1,2013/2014,0.32
Stade de Reims,France Ligue 1,2013/2014,0.32
Toulouse FC,France Ligue 1,2013/2014,0.32
En Avant de Guingamp,France Ligue 1,2013/2014,0.29
Stade Rennais FC,France Ligue 1,2013/2014,0.29
Évian Thonon Gaillard FC,France Ligue 1,2013/2014,0.29
FC Sochaux-Montbéliard,France Ligue 1,2013/2014,0.26
Montpellier Hérault SC,France Ligue 1,2013/2014,0.21
Valenciennes FC,France Ligue 1,2013/2014,0.18
AC Ajaccio,France Ligue 1,2013/2014,0.11
Paris Saint-Germain,France Ligue 1,2014/2015,0.63
Olympique Lyonnais,France Ligue 1,2014/2015,0.58
Olympique de Marseille,France Ligue 1,2014/2015,0.55
AS Monaco,France Ligue 1,2014/2015,0.53
AS Saint-Étienne,France Ligue 1,2014/2015,0.5
Girondins de Bordeaux,France Ligue 1,2014/2015,0.45
LOSC Lille,France Ligue 1,2014/2015,0.42
Montpellier Hérault SC,France Ligue 1,2014/2015,0.42
En Avant de Guingamp,France Ligue 1,2014/2015,0.39
OGC Nice,France Ligue 1,2014/2015,0.34
Stade Rennais FC,France Ligue 1,2014/2015,0.34
FC Lorient,France Ligue 1,2014/2015,0.32
SC Bastia,France Ligue 1,2014/2015,0.32
SM Caen,France Ligue 1,2014/2015,0.32
Stade de Reims,France Ligue 1,2014/2015,0.32
Toulouse FC,France Ligue 1,2014/2015,0.32
FC Nantes,France Ligue 1,2014/2015,0.29
Évian Thonon Gaillard FC,France Ligue 1,2014/2015,0.29
FC Metz,France Ligue 1,2014/2015,0.18
RC Lens,France Ligue 1,2014/2015,0.18
Paris Saint-Germain,France Ligue 1,2015/2016,0.79
Olympique Lyonnais,France Ligue 1,2015/2016,0.5
OGC Nice,France Ligue 1,2015/2016,0.47
AS Monaco,France Ligue 1,2015/2016,0.45
AS Saint-Étienne,France Ligue 1,2015/2016,0.45
SM Caen,France Ligue 1,2015/2016,0.42
LOSC Lille,France Ligue 1,2015/2016,0.39
Montpellier Hérault SC,France Ligue 1,2015/2016,0.37
SC Bastia,France Ligue 1,2015/2016,0.37
Angers SCO,France Ligue 1,2015/2016,0.34
Stade Rennais FC,France Ligue 1,2015/2016,0.34
FC Nantes,France Ligue 1,2015/2016,0.32
Girondins de Bordeaux,France Ligue 1,2015/2016,0.32
En Avant de Guingamp,France Ligue 1,2015/2016,0.29
FC Lorient,France Ligue 1,2015/2016,0.29
Olympique de Marseille,France Ligue 1,2015/2016,0.26
Stade de Reims,France Ligue 1,2015/2016,0.26
Toulouse FC,France Ligue 1,2015/2016,0.24
GFC Ajaccio,France Ligue 1,2015/2016,0.21
ES Troyes AC,France Ligue 1,2015/2016,0.08
VfL Wolfsburg,Germany 1. Bundesliga,2008/2009,0.62
FC Bayern Munich,Germany 1. Bundesliga,2008/2009,0.59
Hamburger SV,Germany 1. Bundesliga,2008/2009,0.56
Hertha BSC Berlin,Germany 1. Bundesliga,2008/2009,0.56
VfB Stuttgart,Germany 1. Bundesliga,2008/2009,0.56
Borussia Dortmund,Germany 1. Bundesliga,2008/2009,0.44
TSG 1899 Hoffenheim,Germany 1. Bundesliga,2008/2009,0.44
Bayer 04 Leverkusen,Germany 1. Bundesliga,2008/2009,0.41
FC Schalke 04,Germany 1. Bundesliga,2008/2009,0.41
SV Werder Bremen,Germany 1. Bundesliga,2008/2009,0.35
1. FC Köln,Germany 1. Bundesliga,2008/2009,0.32
Hannover 96,Germany 1. Bundesliga,2008/2009,0.29
Borussia Mönchengladbach,Germany 1. Bundesliga,2008/2009,0.24
Eintracht Frankfurt,Germany 1. Bundesliga,2008/2009,0.24
FC Energie Cottbus,Germany 1. Bundesliga,2008/2009,0.24
Karlsruher SC,Germany 1. Bundesliga,2008/2009,0.24
VfL Bochum,Germany 1. Bundesliga,2008/2009,0.21
DSC Arminia Bielefeld,Germany 1. Bundesliga,2008/2009,0.12
FC Bayern Munich,Germany 1. Bundesliga,2009/2010,0.59
FC Schalke 04,Germany 1. Bundesliga,2009/2010,0.56
SV Werder Bremen,Germany 1. Bundesliga,2009/2010,0.5
Borussia Dortmund,Germany 1. Bundesliga,2009/2010,0.47
Bayer 04 Leverkusen,Germany 1. Bundesliga,2009/2010,0.44
VfB Stuttgart,Germany 1. Bundesliga,2009/2010,0.44
VfL Wolfsburg,Germany 1. Bundesliga,2009/2010,0.41
Hamburger SV,Germany 1. Bundesliga,2009/2010,0.38
1. FSV Mainz 05,Germany 1. Bundesliga,2009/2010,0.35
Eintracht Frankfurt,Germany 1. Bundesliga,2009/2010,0.35
TSG 1899 Hoffenheim,Germany 1. Bundesliga,2009/2010,0.32
Borussia Mönchengladbach,Germany 1. Bundesliga,2009/2010,0.29
1. FC Köln,Germany 1. Bundesliga,2009/2010,0.26
Hannover 96,Germany 1. Bundesliga,2009/2010,0.26
SC Freiburg,Germany 1. Bundesliga,2009/2010,0.26
1. FC Nürnberg,Germany 1. Bundesliga,2009/2010,0.24
VfL Bochum,Germany 1. Bundesliga,2009/2010,0.18
Hertha BSC Berlin,Germany 1. Bundesliga,2009/2010,0.15
Borussia Dortmund,Germany 1. Bundesliga,2010/2011,0.68
Bayer 04 Leverkusen,Germany 1. Bundesliga,2010/2011,0.59
FC Bayern Munich,Germany 1. Bundesliga,2010/2011,0.56
Hannover 96,Germany 1. Bundesliga,2010/2011,0.56
1. FSV Mainz 05,Germany 1. Bundesliga,2010/2011,0.53
1. FC Kaiserslautern,Germany 1. Bundesliga,2010/2011,0.38
1. FC Köln,Germany 1. Bundesliga,2010/2011,0.38
1. FC Nürnberg,Germany 1. Bundesliga,2010/2011,0.38
SC Freiburg,Germany 1. Bundesliga,2010/2011,0.38
Hamburger SV,Germany 1. Bundesliga,2010/2011,0.35
VfB Stuttgart,Germany 1. Bundesliga,2010/2011,0.35
FC Schalke 04,Germany 1. Bundesliga,2010/2011,0.32
TSG 1899 Hoffenheim,Germany 1. Bundesliga,2010/2011,0.32
Borussia Mönchengladbach,Germany 1. Bundesliga,2010/2011,0.29
SV Werder Bremen,Germany 1. Bundesliga,2010/2011,0.29
Eintracht Frankfurt,Germany 1. Bundesliga,2010/2011,0.26
VfL Wolfsburg,Germany 1. Bundesliga,2010/2011,0.26
FC St. Pauli,Germany 1. Bundesliga,2010/2011,0.24
Borussia Dortmund,Germany 1. Bundesliga,2011/2012,0.74
FC Bayern Munich,Germany 1. Bundesliga,2011/2012,0.68
FC Schalke 04,Germany 1. Bundesliga,2011/2012,0.59
Borussia Mönchengladbach,Germany 1. Bundesliga,2011/2012,0.5
Bayer 04 Leverkusen,Germany 1. Bundesliga,2011/2012,0.44
VfB Stuttgart,Germany 1. Bundesliga,2011/2012,0.44
VfL Wolfsburg,Germany 1. Bundesliga,2011/2012,0.38
1. FC Nürnberg,Germany 1. Bundesliga,2011/2012,0.35
Hannover 96,Germany 1. Bundesliga,2011/2012,0.35
SV Werder Bremen,Germany 1. Bundesliga,2011/2012,0.32
SC Freiburg,Germany 1. Bundesliga,2011/2012,0.29
TSG 1899 Hoffenheim,Germany 1. Bundesliga,2011/2012,0.29
1. FSV Mainz 05,Germany 1. Bundesliga,2011/2012,0.26
1. FC Köln,Germany 1. Bundesliga,2011/2012,0.24
FC Augsburg,Germany 1. Bundesliga,2011/2012,0.24
Hamburger SV,Germany 1. Bundesliga,2011/2012,0.24
Hertha BSC Berlin,Germany 1. Bundesliga,2011/2012,0.21
1. FC Kaiserslautern,Germany 1. Bundesliga,2011/2012,0.12
FC Bayern Munich,Germany 1. Bundesliga,2012/2013,0.85
